industry_id,primary_category,market
759,Android, Internet 
760,Mobility, Enterprise Software 
761,Android, Enterprise Software 
762,Cloud Management, Enterprise Software 
763,Apps, PaaS 
764,Local Commerce, Marketplaces 
765,Online Reservations, Hospitality 
766,Software, Mobile 
767,Application Performance Monitoring, Enterprise Software 
768,Mobile, Software 
769,iPhone, Mobile 
770,App Marketing, Mobile 
771,Enterprise Software, Application Performance Monitoring 
772,Web Hosting, Enterprise Software 
773,Social Media Marketing, Social Media Marketing 
774,Apps, Graphics 
775,Meeting Software, Meeting Software 
776,iOS, iOS 
777,Apps, Mobile Software Tools 
778,App Stores, Advertising 
779,Web Development, Collaboration 
780,Ad Targeting, Advertising 
781,Entrepreneur, Software 
782,Development Platforms, Development Platforms 
783,Mobile, Mobile Advertising 
784,Mobile Software Tools, Mobile 
785,Life Sciences, Genetic Testing 
786,Business Services, Marketplaces 
787,Mobility, Mobile 
788,Venture Capital, Curated Web 
789,Mobile, Content 
790,Enterprise Software, SaaS 
791,Professional Services, Testing 
792,Publishing, Mobile 
793,Cloud Computing, Web Hosting 
794,Business Services, User Experience Design 
795,Mobile Games, Advertising 
796,Mobile Commerce, Apps 
797,Online Rental, Real Estate 
798,Android, iPhone 
799,Information Technology, Enterprises 
800,RIM, Software 
801,Real Estate, Retail 
802,Email Marketing, Email Marketing 
803,Social + Mobile + Local, Social + Mobile + Local 
804,Celebrity, Video Streaming 
805,Payments, E-Commerce 
806,PaaS, PaaS 
807,Tablets, Tablets 
808,Storage, Android 
809,Web CMS, QR Codes 
810,Open Source, Software 
811,Virtualization, Virtualization 
812,Sales and Marketing, Mobile 
813,Crowdfunding, Consumer Electronics 
814,Developer Tools, Developer Tools 
815,Mobile Security, Analytics 
816,Analytics, Android 
817,iOS, Mobile 
818,Virtualization, Curated Web 
819,Online Dating, Apps 
820,Cyber Security, Cyber Security 
821,Digital Media, Digital Media 
822,Cloud Security, Mobile Security 
823,Corporate IT, SaaS 
824,Mobile Commerce, E-Commerce 
825,iOS, Testing 
826,Social Network Media, Media 
827,Consumer Electronics, Mobile 
828,Advertising, Android 
829,Web CMS, CRM 
830,Resorts, Apps 
831,Clean Energy, Distributed Generation 
832,All Students, Education 
833,Colleges, Education 
834,Big Data, Design 
835,Group Buying, Group Buying 
836,Mobile Analytics, Data Integration 
837,Business Intelligence, Business Intelligence 
838,SaaS, Business Intelligence 
839,Cloud Computing, Commercial Real Estate 
840,CRM, Software 
841,Advertising, Curated Web 
842,Web Development, E-Commerce 
843,Enterprise Security, Enterprise Application 
844,Internet of Things, Energy Management 
845,3D Technology, Game 
846,Wireless, Mobile Advertising 
847,Big Data, Software 
848,Health and Wellness, Biotechnology 
849,Advertising Platforms, Online Video Advertising 
850,Digital Media, Analytics 
851,Environmental Innovation, Pets 
852,Browser Extensions, Browser Extensions 
853,Apps, Design 
854,Business Services, Enterprises 
855,Designers, Design 
856,Photo Sharing, Photo Sharing 
857,Email, Messaging 
858,Contact Management, Contact Management 
859,Mobile, Digital Media 
860,Software, Games 
861,Employment, Angels 
862,Network Security, Web Hosting 
863,Therapeutics, Therapeutics 
864,Cyber Security, Data Security 
865,Mobile Games, Mobile Games 
866,Application Platforms, Online Gaming 
867,Databases, Big Data 
868,Mobile Payments, Mobile Payments 
869,Automotive, Cyber Security 
870,Market Research, Analytics 
871,Deep Information Technology, Deep Information Technology 
872,Social CRM, Online Scheduling 
873,Video on Demand, Enterprise Software 
874,Wireless, Consulting 
875,Augmented Reality, Augmented Reality 
876,Software, Corporate IT 
877,Nonprofits, Universities 
878,Social Games, Games 
879,Innovation Engineering, Finance Technology 
880,Business Analytics, Business Analytics 
881,Home & Garden, Open Source 
882,Services, Cloud Data Services 
883,Entertainment, Music 
884,Marketplaces, Small and Medium Businesses 
885,Productivity Software, Mobile Commerce 
886,Web Tools, Web Tools 
887,Online Shopping, SaaS 
888,Wireless, Mobile Software Tools 
889,Startups, Social Commerce 
890,Dental, Dental 
891,Meeting Software, Travel 
892,Automotive, Aerospace 
893,Oil & Gas, Oil & Gas 
894,Art, Design 
895,Startups, Networking 
896,Photography, Auctions 
897,Visualization, Visualization 
898,Art, Jewelry 
899,Finance, Banking 
900,Personal Finance, Personal Finance 
901,Marketplaces, Art 
902,Medical, Technology 
903,Video Games, Video Games 
904,Home Decor, Home Decor 
905,Music, Games 
906,Finance, Technology 
907,Software, News 
908,Art, Curated Web 
909,Physical Security, Physical Security 
910,Marketplaces, Startups 
911,Classifieds, E-Commerce 
912,Security, Analytics 
913,Identity, Identity 
914,Semantic Web, Web Hosting 
915,Health and Wellness, Diabetes 
916,Diagnostics, Diagnostics 
917,Oil and Gas, Oil and Gas 
918,iPod Touch, E-Commerce 
919,Enterprises, Enterprises 
920,E-Commerce, Curated Web 
921,Logistics Company, Logistics Company 
922,Translation, English-Speaking 
923,Neuroscience, Search 
924,CRM, Social Network Media 
925,Reviews and Recommendations, Tourism 
926,Social Media, Knowledge Management 
927,Startups, Curated Web 
928,Networking, Social Media 
929,Life Sciences, Outsourcing 
930,Tracking, Tracking 
931,Collaboration, Software 
932,Intellectual Asset Management, Software 
933,Small and Medium Businesses, Small and Medium Businesses 
934,RFID, RFID 
935,Freelancers, Freelancers 
936,Recruiting, Curated Web 
937,Network Security, Security 
938,Databases, Analytics 
939,Social Network Media, E-Commerce Platforms 
940,Productivity Software, Productivity Software 
941,Design, E-Commerce 
942,Sports, Kids 
943,Ediscovery, Social Media 
944,Wholesale, Wholesale 
945,Software, Search 
946,SaaS, Cloud Computing 
947,Auctions, Design 
948,Augmented Reality, Software 
949,Tablets, Mobile 
950,Parenting, Education 
951,Training, Training 
952,Internet Marketing, Advertising 
953,Databases, Market Research 
954,Web Tools, Enterprise Software 
955,Cloud Computing, Messaging 
956,Publishing, Social Media 
957,Startups, Real Estate 
958,Industrial Automation, Industrial Automation 
959,Medical, Bio-Pharm 
